주차장명,주소,총 주차면,현재 주차 차량수,"토요일 유,무료 구분명","공휴일 유,무료 구분명",기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),위도,경도
가마산고가밑 공영주차장(시),구로구 구로동 414-13,18,17,무료,유료,120.0,5.0,120.0,5.0,126.8825161,37.4927005
가산동 금천교 공영주차장(시),금천구 가산동 691-3,37,26,무료,유료,200.0,5.0,200.0,5.0,126.8871024,37.4662385
가양라이품 공영주차장(시),강서구 가양동 1457-1,38,8,무료,무료,170.0,5.0,170.0,5.0,126.8416235,37.5715564
가양역 공영주차장(시),강서구 가양동 1480-10,79,41,무료,무료,260.0,5.0,260.0,5.0,126.8530536,37.5633291
개화산역 공영주차장(시),강서구 방화동 845-0,321,225,무료,무료,170.0,5.0,170.0,5.0,126.8052091,37.5722383
개화역 공영주차장(시),강서구 개화동 664-0,483,407,무료,무료,170.0,5.0,170.0,5.0,126.7981527,37.5779789
관철동 공영주차장(시),종로구 관철동 13-14,7,2,무료,유료,430.0,5.0,430.0,5.0,126.9875127,37.5690032
구로디지털단지역 공영주차장(시),구로구 구로동 810-3,91,12,무료,무료,260.0,5.0,260.0,5.0,126.9010829,37.4853717
구로디지털단지역(상) 공영주차장(시),관악구 신림동 1677-5,31,27,무료,무료,260.0,5.0,260.0,5.0,126.9033062,37.4847892
구파발역 공영주차장(시),은평구 진관동 70-1,399,200,무료,무료,170.0,5.0,170.0,5.0,126.9191512,37.6380839
남부여성발전센터 공영주차장(시),금천구 시흥동 139-2,128,102,무료,무료,120.0,5.0,120.0,5.0,126.906091,37.4631646
남산한옥마을 공영주차장(시),중구 필동2가 83-1,16,2,무료,무료,430.0,5.0,430.0,5.0,126.993158,37.5600531
논현로22길(시),강남구 개포동 1266-0,97,37,무료,무료,200.0,5.0,200.0,5.0,127.0480271,37.4814564
당고개위 공영주차장(시),노원구 상계동 111-568,23,6,무료,무료,260.0,5.0,260.0,5.0,127.0810155,37.6708869
당산고가밑 공영주차장(시),영등포구 당산동5가 9-15,23,15,무료,유료,260.0,5.0,260.0,5.0,126.9007244,37.532592
당산노외 공영주차장(시),영등포구 당산동3가 2-1,236,144,무료,무료,260.0,5.0,260.0,5.0,126.8995555,37.5262224
대림노외 공영주차장(시),구로구 구로동 120-3,93,64,무료,무료,260.0,5.0,260.0,5.0,126.8942174,37.4934514
대림역 공영주차장(시),영등포구 대림동 808-24,18,11,무료,무료,260.0,5.0,260.0,5.0,126.8955148,37.4927486
대림역2 공영주차장(시),구로구 구로동 73-9,31,19,무료,유료,260.0,5.0,260.0,5.0,126.8938589,37.494989
도봉로 15길 공영주차장(시),강북구 미아동 458-7,16,10,유료,유료,200.0,5.0,200.0,5.0,127.0282914,37.6167451
도봉산 공영주차장(시),도봉구 도봉동 282-26,142,64,무료,무료,170.0,5.0,170.0,5.0,127.0406206,37.6876758
도봉산역 공영주차장(시),도봉구 도봉동 288-19,358,173,무료,무료,170.0,5.0,170.0,5.0,127.0448083,37.6897447
독산동 금천교 공영주차장(시),금천구 독산동 1081-4,21,15,무료,유료,400.0,5.0,400.0,5.0,126.8894932,37.4667994
돈화문로 공영주차장(시),중구 을지로3가 296-24,48,34,무료,유료,750.0,5.0,750.0,5.0,126.9926154,37.5652384
동구로 공영주차장(시),구로구 구로동 94-1,70,37,무료,무료,320.0,5.0,320.0,5.0,126.8918331,37.4951158
동국제강 공영주차장(시),중구 삼각동 111-1,13,5,무료,유료,700.0,5.0,700.0,5.0,126.9834337,37.5673748
동대문 공영주차장(시),중구 신당동 251-7,1092,117,무료,무료,360.0,5.0,360.0,5.0,127.0121131,37.5671837
동작대교 공영주차장(시),용산구 용산동6가 69-11,88,58,무료,무료,120.0,5.0,120.0,5.0,126.9832837,37.5179025
동작대교(위) 공영주차장(시),동작구 동작동 316-3,47,10,무료,무료,260.0,5.0,260.0,5.0,126.9797685,37.5055913
동호대교(남) 공영주차장(시),강남구 압구정동 435-0,18,15,무료,유료,170.0,5.0,170.0,5.0,127.0264016,37.5292135
마른내길 공영주차장(시),중구 인현동1가 87-10,33,18,무료,유료,680.0,5.0,680.0,5.0,126.9944979,37.5644923
마른내로 공영주차장(시),중구 오장동 69-3,14,9,유료,유료,620.0,5.0,620.0,5.0,127.0002633,37.5646339
